Location,Location_Type,Year,Month,Price_Studio,Price_1br,Price_2br,Price_3br,Price_4br,Price_Change_MoM,Price_Change_YoY
"Irving, TX","City",2020,1,837,998,1239,1680,2141,0,1.8
"Jackson, MI","City",2020,1,500,614,782,1029,1084,-.1,2.4
"Jackson, MS","City",2020,1,588,696,841,1064,1229,.2,-.5
"Jacksonville, AR","City",2020,1,502,582,704,949,1129,.1,-.2
"Jacksonville, FL","City",2020,1,697,895,1096,1450,1838,.1,1.6
"Jacksonville, NC","City",2020,1,614,619,753,1096,1327,1.5,5.6
"Jefferson City, MO","City",2020,1,482,515,675,971,1063,.1,1.9
"Jersey City, NJ","City",2020,1,1447,1607,1914,2468,2749,0,.8
"Joliet, IL","City",2020,1,821,953,1121,1434,1706,.1,.4
"Jonesboro, AR","City",2020,1,478,592,724,993,1011,-.2,.5
"Jonesboro, GA","City",2020,1,1018,1068,1234,1620,1991,0,3.4
"Junction City, KS","City",2020,1,574,578,767,1109,1348,-.2,-.2
"Jupiter, FL","City",2020,1,1089,1257,1583,2190,2659,.1,-.8
"Kalamazoo, MI","City",2020,1,584,717,891,1213,1390,0,.9
"Kansas City, MO","City",2020,1,590,747,916,1252,1417,.1,1.2
"Keller, TX","City",2020,1,1163,1386,1722,2334,2973,-.5,1.1
"Kennewick, WA","City",2020,1,644,784,969,1323,1708,0,-.8
"Kent, OH","City",2020,1,562,648,861,1107,1187,0,.6
"Kent, WA","City",2020,1,1309,1498,1866,2708,3221,.1,2.4
"Killeen, TX","City",2020,1,571,575,762,1080,1342,0,1.6
"Kissimmee, FL","City",2020,1,964,1050,1262,1678,2023,-.1,2.5
"La Mesa, CA","City",2020,1,1300,1440,1868,2690,3292,-.4,1.4
"La Mirada, CA","City",2020,1,1597,1901,2442,3319,3660,.4,.7
"La Vista, NE","City",2020,1,656,826,1032,1389,1523,.6,2.9
"LaGrange, GA","City",2020,1,642,674,778,1022,1256,0,1.1
"Ladera Ranch, CA","City",2020,1,2629,3129,4020,5464,6024,.5,4
"Lafayette, IN","City",2020,1,602,664,810,1109,1379,.1,1
"Lake Mary, FL","City",2020,1,1226,1340,1605,2135,2569,.6,-.5
"Lakeland, FL","City",2020,1,809,824,1074,1423,1794,-.1,2.8
"Lakewood, NJ","City",2020,1,1343,1492,1777,2291,2552,-.1,.4
"Lakewood, WA","City",2020,1,1056,1208,1505,2184,2598,.2,3.8
"Lancaster, CA","City",2020,1,1081,1273,1637,2236,2485,.3,2.3
"Lancaster, OH","City",2020,1,657,777,1001,1288,1499,.1,-.2
"Lancaster, PA","City",2020,1,678,809,1019,1305,1404,0,.3
"Lansing, MI","City",2020,1,567,703,869,1164,1358,-.1,1
"Lapeer, MI","City",2020,1,567,685,892,1184,1284,.1,.3
"Laredo, TX","City",2020,1,617,660,841,1113,1274,-.6,-.7
"Las Cruces, NM","City",2020,1,511,596,723,1040,1275,.1,1.7
"Las Vegas, NV","City",2020,1,787,963,1193,1737,2092,0,3.2
"Laurel, MD","City",2020,1,1240,1359,1612,2108,2568,.2,.3
"Lawrence, KS","City",2020,1,603,716,937,1348,1620,.1,1
"Lawrenceville, GA","City",2020,1,1141,1197,1382,1815,2230,-.2,2.2
"Lawton, OK","City",2020,1,494,500,661,927,1044,-.5,.3
"Layton, UT","City",2020,1,688,826,1059,1511,1773,0,1.7
"League City, TX","City",2020,1,1070,1213,1485,2024,2572,-.2,-.6
"Lehigh Acres, FL","City",2020,1,732,790,982,1274,1421,.2,1.2
"Lewisville, TX","City",2020,1,865,1031,1282,1738,2213,-.3,3.1
"Lexington, KY","City",2020,1,585,671,860,1230,1516,.1,1.2
"Lincoln Park, MI","City",2020,1,561,677,882,1171,1270,-.1,-.6
"Lincoln, NE","City",2020,1,563,656,864,1231,1487,.1,1.4
"Little Rock, AR","City",2020,1,628,728,880,1187,1412,.2,1.5
"Littleton, CO","City",2020,1,1226,1498,1896,2755,3191,-.2,1.5
"Livonia, MI","City",2020,1,771,932,1213,1611,1748,.2,.8
"Logan, UT","City",2020,1,451,569,698,1016,1142,-.1,.8
"Loma Linda, CA","City",2020,1,881,1054,1318,1852,2281,0,1.6
"Lone Tree, CO","City",2020,1,1292,1578,1997,2902,3361,-.4,1
"Long Beach, CA","City",2020,1,1164,1386,1781,2420,2668,.1,.9
"Long Branch, NJ","City",2020,1,1526,1695,2019,2603,2899,.4,3.9
"Longmont, CO","City",2020,1,937,1061,1295,1853,2190,.1,1.3
"Longview, TX","City",2020,1,707,770,937,1208,1461,-.1,-.2
"Lorain, OH","City",2020,1,506,605,754,991,1050,.1,2.9
"Los Angeles, CA","City",2020,1,1151,1370,1760,2392,2637,0,.5
"Louisville, KY","City",2020,1,584,665,840,1151,1307,.2,.5
"Lovejoy, GA","City",2020,1,728,763,882,1157,1422,0,-.3
"Loveland, CO","City",2020,1,818,933,1152,1677,2030,.2,2.1
"Lowell, MA","City",2020,1,1089,1242,1540,1935,2133,0,1
"Lubbock, TX","City",2020,1,564,658,817,1187,1433,.1,-.5
"Mableton, GA","City",2020,1,882,925,1069,1403,1724,.3,1.2
"Madison Heights, MI","City",2020,1,705,852,1108,1472,1597,0,2.4
"Madison, AL","City",2020,1,688,789,949,1291,1673,.2,6.9
"Madison, WI","City",2020,1,706,842,1016,1412,1608,.1,1.1
"Manchester, NH","City",2020,1,919,1080,1371,1785,1976,-.1,1.6
"Manhattan, KS","City",2020,1,522,559,740,1044,1267,.5,-1
"Marana, AZ","City",2020,1,975,1171,1505,2190,2565,.5,3.9
"Marietta, PA","City",2020,1,568,677,852,1092,1175,0,0
"Marine City, MI","City",2020,1,536,648,843,1119,1214,0,0
"Marshall, MI","City",2020,1,543,679,851,1111,1203,0,.2
"Maryland Heights, MO","City",2020,1,747,847,1100,1457,1700,-.3,3.8
"Marysville, WA","City",2020,1,1158,1325,1650,2395,2849,-.1,.6
"Matthews, NC","City",2020,1,1105,1224,1427,1924,2416,.2,4.3
"McKinney, TX","City",2020,1,970,1157,1437,1948,2482,.1,2.7
"Medford, OR","City",2020,1,718,756,1005,1464,1678,.1,.9
"Melbourne, FL","City",2020,1,786,976,1238,1711,2107,.1,.3
"Melvindale, MI","City",2020,1,590,713,928,1233,1337,1,4.3
"Memphis, TN","City",2020,1,633,707,836,1136,1331,.1,1
"Menifee, CA","City",2020,1,1115,1334,1669,2345,2888,-.1,-.5
"Mentor, OH","City",2020,1,717,857,1068,1404,1487,.5,3
"Mesa, AZ","City",2020,1,753,915,1140,1659,1925,.3,5.1
"Metairie, LA","City",2020,1,684,798,966,1239,1454,.1,1.3
"Miami Gardens, FL","City",2020,1,919,1137,1441,1984,2390,-.3,-.9
"Miami, FL","City",2020,1,884,1094,1387,1909,2299,.2,1.1
"Miamisburg, OH","City",2020,1,642,731,958,1314,1542,-.5,5
"Middle River, MD","City",2020,1,865,1051,1319,1695,1986,0,-.4
"Middletown, OH","City",2020,1,589,682,896,1246,1457,0,.6
"Midland, MI","City",2020,1,484,578,749,1029,1175,0,.2
"Midvale, UT","City",2020,1,802,993,1232,1775,2039,0,6.4
"Milwaukee, WI","City",2020,1,598,727,901,1136,1275,0,1
"Minneapolis, MN","City",2020,1,740,912,1150,1629,1904,0,1.2
"Minnetonka, MN","City",2020,1,981,1209,1526,2160,2526,-.4,3.3
"Missoula, MT","City",2020,1,688,743,920,1339,1621,.1,.9
"Missouri City, TX","City",2020,1,1039,1178,1441,1965,2498,-.6,2.2
"Mobile, AL","City",2020,1,791,796,970,1265,1464,.7,3.3
"Monroe, LA","City",2020,1,635,639,825,1047,1138,-.2,.1
"Monterey, CA","City",2020,1,1208,1439,1801,2621,2804,.2,.7
"Montgomery, AL","City",2020,1,621,721,870,1115,1507,-.1,2
"Moreno Valley, CA","City",2020,1,1148,1374,1718,2414,2974,-.1,.4
"Morrisville, NC","City",2020,1,974,1174,1369,1822,2132,-.2,3.6
"Muncie, IN","City",2020,1,517,560,736,960,1167,.3,.9
"Murrieta, CA","City",2020,1,1197,1432,1792,2518,3101,0,2.8
"Muskegon, MI","City",2020,1,519,562,746,1025,1029,0,.8
"Nampa, ID","City",2020,1,574,704,904,1308,1540,.1,2
"Nashville, TN","City",2020,1,850,947,1163,1550,1822,-.1,3.3
"New Baltimore, MI","City",2020,1,708,855,1113,1479,1604,0,2
"New Britain, CT","City",2020,1,671,830,1039,1310,1468,-.1,.7
"New Haven, CT","City",2020,1,948,1083,1321,1687,1969,-.1,-.6
"New Orleans, LA","City",2020,1,687,801,971,1244,1460,0,.3
"New Port Richey, FL","City",2020,1,723,826,1028,1359,1630,0,-.2
"New York, NY","City",2020,1,1939,2153,2565,3307,3684,-.2,1.7
"Newark, OH","City",2020,1,522,618,796,1024,1192,-.1,1.2
"Newington, CT","City",2020,1,836,1035,1296,1634,1831,-.4,-1.3
"Newport News, VA","City",2020,1,837,842,1013,1414,1764,0,.4
"Noblesville, IN","City",2020,1,741,860,1065,1428,1628,-.4,3.5
"Norfolk, VA","City",2020,1,793,797,959,1339,1670,0,1
"Normal, IL","City",2020,1,582,640,844,1142,1448,0,.1
"Norman, OK","City",2020,1,574,636,813,1114,1360,.1,.6
"Norristown, PA","City",2020,1,1009,1197,1446,1809,2013,-.5,3.7
"North Charleston, SC","City",2020,1,812,931,1108,1469,1897,0,3
"North Chicago, IL","City",2020,1,717,832,978,1251,1489,-.1,.1
"North Las Vegas, NV","City",2020,1,783,957,1186,1727,2080,.1,2.2
"North Little Rock, AR","City",2020,1,574,665,804,1085,1290,.1,.9
"North Port, FL","City",2020,1,848,912,1172,1608,1954,.4,1.9
"North Richland Hills, TX","City",2020,1,918,1094,1360,1844,2349,-.3,2.1
"Norwalk, CA","City",2020,1,1339,1594,2049,2784,3070,.2,1.5
"Novato, CA","City",2020,1,2194,2696,3387,4557,5419,1.1,4.5
"Oak Park, MI","City",2020,1,818,989,1287,1710,1855,.3,1.1
"Ocala, FL","City",2020,1,762,813,988,1329,1433,0,1.7
"Oceanside, CA","City",2020,1,1636,1811,2349,3383,4140,0,2.1
"Oconomowoc, WI","City",2020,1,694,844,1046,1317,1479,0,-.7
"Ogden, UT","City",2020,1,580,697,893,1275,1496,.2,1.3
"Oklahoma City, OK","City",2020,1,573,635,812,1112,1358,0,.9
"Olathe, KS","City",2020,1,752,951,1166,1594,1804,.3,1.9
"Omaha, NE","City",2020,1,606,762,953,1283,1407,.1,1.1
"Ontario, CA","City",2020,1,1013,1211,1515,2129,2622,0,1.1
"Orange, CA","City",2020,1,1516,1805,2319,3151,3475,.2,1.3
"Orlando, FL","City",2020,1,989,1081,1294,1722,2072,-.1,1.8
"Ormond Beach, FL","City",2020,1,768,926,1155,1556,1746,0,.3
"Ortonville, MI","City",2020,1,560,672,882,1168,1266,-.3,-1.8
"Overland Park, KS","City",2020,1,781,988,1212,1656,1874,.2,1.7
"Owings Mills, MD","City",2020,1,1021,1240,1555,2000,2342,-.7,.8
"Oxnard, CA","City",2020,1,1051,1246,1656,2359,2819,0,1.7
"Pacifica, CA","City",2020,1,2485,3054,3836,5162,6138,.1,1.8
"Palm Bay, FL","City",2020,1,667,828,1051,1453,1788,-.3,.9
"Palm Beach Gardens, FL","City",2020,1,1149,1421,1802,2480,2987,.8,2.5
"Palm Desert, CA","City",2020,1,804,962,1204,1691,2083,.4,-.2
"Palm Harbor, FL","City",2020,1,949,1084,1349,1784,2140,-.1,.7
"Palm Springs, CA","City",2020,1,782,935,1170,1644,2025,.1,1
"Palmdale, CA","City",2020,1,1235,1470,1889,2567,2830,0,1.6
"Palo Alto, CA","City",2020,1,2155,2554,3203,4419,5124,.4,3.3
"Paramount, CA","City",2020,1,1243,1480,1901,2584,2849,.4,2
"Park Forest, IL","City",2020,1,856,994,1169,1495,1779,.1,1.5
"Parker, CO","City",2020,1,1154,1410,1784,2592,3003,-.3,1.9
"Parkville, MD","City",2020,1,913,1110,1392,1789,2096,-.1,.1
"Pasadena, CA","City",2020,1,1373,1634,2100,2854,3147,.1,.7
"Pasadena, MD","City",2020,1,1293,1570,1970,2532,2966,-.5,-2.1
"Pasadena, TX","City",2020,1,733,831,1016,1386,1761,.1,2.5
"Pascagoula, MS","City",2020,1,572,600,693,972,1161,0,-1.3
"Pearland, TX","City",2020,1,975,1105,1352,1843,2342,-.2,2.1
"Pembroke Pines, FL","City",2020,1,1532,1895,2402,3307,3983,-.1,-.6
"Peoria, AZ","City",2020,1,974,1183,1473,2144,2488,.2,4.4
"Peoria, IL","City",2020,1,555,639,819,1038,1190,0,1.9
"Perris, CA","City",2020,1,741,886,1109,1558,1919,0,0
"Perry Hall, MD","City",2020,1,1090,1324,1660,2134,2500,0,2.3
"Petersburg, VA","City",2020,1,747,783,903,1197,1459,0,1.3
"Pflugerville, TX","City",2020,1,1093,1325,1636,2216,2667,.5,4.7
"Phenix City, AL","City",2020,1,563,610,758,1042,1299,.3,2.6
"Philadelphia, PA","City",2020,1,823,977,1179,1475,1642,0,.5
"Phoenix, AZ","City",2020,1,727,883,1101,1602,1858,.2,3.7
"Pineville, NC","City",2020,1,963,1066,1244,1677,2106,.7,6.4
"Pittsburg, CA","City",2020,1,2069,2543,3195,4298,5111,-.1,.8
"Pittsburgh, PA","City",2020,1,638,740,925,1158,1275,.1,.6
"Plainfield, IN","City",2020,1,704,818,1012,1357,1547,.5,5
"Plano, TX","City",2020,1,995,1186,1474,1998,2545,.1,2.8
"Pleasanton, CA","City",2020,1,2357,2897,3639,4896,5822,.4,-1.7
"Pompano Beach, FL","City",2020,1,939,1161,1473,2027,2441,.1,.1
"Pontiac, MI","City",2020,1,605,731,952,1264,1371,.1,.7
"Port Huron, MI","City",2020,1,537,648,844,1121,1216,0,.6
"Port Orange, FL","City",2020,1,816,982,1226,1651,1853,.1,.7
"Port Washington, WI","City",2020,1,580,706,875,1102,1237,-.1,.1
"Portland, OR","City",2020,1,1009,1122,1324,1927,2332,0,.2
"Portsmouth, VA","City",2020,1,779,783,942,1315,1640,0,1.8
"Post Falls, ID","City",2020,1,592,644,856,1212,1508,0,.8
"Puyallup, WA","City",2020,1,1378,1578,1965,2852,3392,-.2,3
"Quincy, MA","City",2020,1,1355,1546,1916,2408,2655,.2,3
"Radcliff, KY","City",2020,1,486,523,695,1011,1225,0,.7
"Rahway, NJ","City",2020,1,1182,1312,1563,2016,2245,.1,.4
"Raleigh, NC","City",2020,1,816,1006,1163,1519,1857,0,2.1
"Rancho Cucamonga, CA","City",2020,1,1206,1442,1804,2535,3123,.3,1.1
"Rapid City, SD","City",2020,1,580,643,841,1184,1379,0,.8
"Redlands, CA","City",2020,1,785,939,1175,1650,2033,.2,2.7
"Redwood City, CA","City",2020,1,2292,2817,3539,4762,5662,.1,2.2
"Reisterstown, MD","City",2020,1,955,1161,1456,1872,2192,-.5,2.6
"Reno, NV","City",2020,1,740,897,1167,1699,2057,.1,.8
"Renton, WA","City",2020,1,1494,1711,2130,3092,3677,.3,3.4
"Richardson, TX","City",2020,1,907,1081,1343,1821,2320,.1,2.6
"Richland, WA","City",2020,1,677,825,1020,1393,1797,-.5,2.3
"Richmond, TX","City",2020,1,896,1015,1242,1694,2153,-.2,1.9
"Richmond, VA","City",2020,1,862,904,1043,1383,1685,.1,1.3
"Rio Rancho, NM","City",2020,1,658,846,1038,1511,1828,0,.9
"Riverdale, GA","City",2020,1,985,1033,1193,1566,1925,.6,1.7
"Riverside, CA","City",2020,1,904,1081,1352,1900,2341,0,1.7
"Riverview, FL","City",2020,1,931,1063,1323,1750,2099,0,1.3
"Roanoke, VA","City",2020,1,570,683,871,1191,1350,-.1,2
"Rochester, NY","City",2020,1,660,780,967,1211,1333,0,.8
"Rock Hill, SC","City",2020,1,790,875,1020,1375,1727,.3,4.3
"Rockford, IL","City",2020,1,554,621,826,1095,1224,-.1,1.2
"Rockwood, MI","City",2020,1,569,688,895,1189,1289,.5,1.5
"Rocky Mount, NC","City",2020,1,659,663,837,1148,1284,-.1,.7
"Rogers, AR","City",2020,1,635,674,871,1250,1522,0,3.7
"Rohnert Park, CA","City",2020,1,1324,1534,1988,2894,3503,-.1,-1.1
"Romeoville, IL","City",2020,1,1367,1586,1866,2387,2840,-.3,0
"Romulus, MI","City",2020,1,556,672,874,1161,1260,0,1.3
"Roseville, MI","City",2020,1,625,755,983,1306,1416,0,.8
"Roswell, GA","City",2020,1,1217,1277,1475,1936,2379,.4,2.1
"Round Rock, TX","City",2020,1,1059,1284,1585,2147,2583,-.1,3.5
"Royal Oak, MI","City",2020,1,689,833,1084,1440,1562,0,.5
"Sacramento, CA","City",2020,1,869,979,1242,1803,2188,0,2.5
"Saginaw, MI","City",2020,1,498,617,785,1036,1082,-.1,1.1
"Salem, MA","City",2020,1,1268,1446,1793,2253,2484,-.4,5.3
"Salinas, CA","City",2020,1,1444,1720,2152,3133,3351,-.2,2.5
"Salisbury, MD","City",2020,1,731,818,1078,1472,1775,-.2,3.9
"Salt Lake City, UT","City",2020,1,710,879,1090,1570,1804,.1,1.9
"San Antonio, TX","City",2020,1,698,860,1081,1430,1716,-.1,1.7
"San Bernardino, CA","City",2020,1,714,854,1068,1501,1849,0,.8
"San Diego, CA","City",2020,1,1426,1579,2048,2949,3609,0,1.3
"San Dimas, CA","City",2020,1,1588,1890,2429,3302,3640,.1,2.5
"San Francisco, CA","City",2020,1,2001,2459,3090,4157,4943,0,0
"San Jose, CA","City",2020,1,1802,2118,2655,3685,4248,.2,1.3
"San Marcos, CA","City",2020,1,1413,1565,2030,2923,3577,-.1,1.9
"San Marcos, TX","City",2020,1,788,962,1197,1605,1929,.2,1
"San Mateo, CA","City",2020,1,2889,3551,4461,6002,7137,.3,1.7
"San Ramon, CA","City",2020,1,2465,3030,3806,5121,6089,-.4,1.7
"Santa Ana, CA","City",2020,1,1215,1446,1857,2524,2783,0,0
"Santa Clara, CA","City",2020,1,1915,2251,2821,3916,4514,.6,1.4
"Santa Clarita, CA","City",2020,1,1752,2085,2679,3641,4015,-.3,4.4
"Santa Cruz, CA","City",2020,1,1561,1851,2460,3264,3665,.1,1.1
"Sarasota, FL","City",2020,1,1016,1093,1404,1926,2341,0,.9
"Savannah, GA","City",2020,1,805,914,1055,1438,1681,-.1,1.9
"Schaumburg, IL","City",2020,1,1241,1441,1695,2167,2579,.3,2.2
"Scottsdale, AZ","City",2020,1,909,1104,1376,2002,2323,.5,4.1
"Seattle, WA","City",2020,1,1176,1346,1676,2433,2894,.1,1.8
"Severn, MD","City",2020,1,1107,1345,1687,2168,2540,.1,1.9
"Shawnee, KS","City",2020,1,683,864,1059,1448,1639,.3,2.3
"Sherman, TX","City",2020,1,616,758,964,1316,1476,.1,1.5
"Sierra Vista, AZ","City",2020,1,693,697,871,1236,1535,-.2,2.4
"Sioux Falls, SD","City",2020,1,511,615,762,1032,1217,0,-1.1
"Slidell, LA","City",2020,1,797,930,1126,1444,1695,.3,1.7
"Smyrna, GA","City",2020,1,1096,1150,1328,1744,2143,-.4,2
"Snellville, GA","City",2020,1,1233,1293,1493,1960,2409,-.1,.9
"South Gate, CA","City",2020,1,824,981,1260,1713,1889,0,1.7
"Southfield, MI","City",2020,1,763,922,1200,1594,1729,0,2.1
"Spanaway, WA","City",2020,1,1158,1326,1651,2396,2850,0,1
"Spring, TX","City",2020,1,993,1125,1377,1877,2386,-.2,1.7
"Springfield, IL","City",2020,1,489,559,725,947,999,.1,.6
"Springfield, MO","City",2020,1,496,536,698,1012,1100,.2,2.3
"Springfield, OH","City",2020,1,506,556,720,928,1037,.2,2.2
"Springfield, OR","City",2020,1,629,746,992,1438,1733,0,.8
"St. Ann, MO","City",2020,1,552,626,813,1076,1256,.2,6.3
"St. Clair Shores, MI","City",2020,1,622,752,979,1300,1410,.1,-.1
"St. Joseph, MO","City",2020,1,577,634,825,1045,1291,.1,1.5
"St. Louis, MO","City",2020,1,637,723,938,1243,1450,0,.7
"St. Paul, MN","City",2020,1,798,983,1240,1756,2053,-.1,1.4
"St. Petersburg, FL","City",2020,1,849,969,1206,1595,1914,.2,1.7
"Stamford, CT","City",2020,1,1259,1539,1944,2458,2945,.1,2.7
"Sterling Heights, MI","City",2020,1,689,832,1083,1439,1560,.1,.5
"Stockton, CA","City",2020,1,833,994,1304,1881,2272,.3,2.8
"Sugar Land, TX","City",2020,1,1145,1298,1588,2166,2752,-.2,1.4
"Suisun City, CA","City",2020,1,1238,1543,1930,2809,3401,.1,.2
"Sumter, SC","City",2020,1,594,598,738,971,1090,0,-.7
"Suwanee, GA","City",2020,1,1579,1656,1913,2511,3086,-.7,2.7
"Syracuse, NY","City",2020,1,590,659,833,1091,1192,.1,-.6
"Tacoma, WA","City",2020,1,1100,1259,1568,2276,2708,.2,1.3
"Tallahassee, FL","City",2020,1,776,817,1012,1341,1537,-.2,.9
"Tampa, FL","City",2020,1,908,1037,1291,1707,2047,.1,2.6
"Tarpon Springs, FL","City",2020,1,787,898,1118,1478,1773,0,.4
"Taylor, MI","City",2020,1,572,691,899,1194,1295,-.1,1.2
"Tempe, AZ","City",2020,1,808,982,1224,1781,2066,.2,4.9
"Temple, TX","City",2020,1,600,613,811,1146,1421,.9,2.6
"Texarkana, AR","City",2020,1,506,574,724,924,1018,.2,1.1
"Texarkana, TX","City",2020,1,559,635,801,1021,1125,0,2.6
"Texas City, TX","City",2020,1,804,911,1115,1521,1933,.4,4
"The Colony, TX","City",2020,1,1021,1217,1512,2050,2611,-.2,4.5
"Thornton, CO","City",2020,1,1252,1529,1935,2812,3256,-.4,2.7
"Thousand Oaks, CA","City",2020,1,1737,2061,2720,3838,4517,0,-.6
"Toledo, OH","City",2020,1,493,593,775,1062,1161,-.1,.4
"Tolleson, AZ","City",2020,1,811,985,1227,1786,2073,.3,1.8
"Topeka, KS","City",2020,1,508,607,801,1083,1311,.3,3.2
"Torrance, CA","City",2020,1,1362,1621,2082,2830,3120,.3,.1
"Towson, MD","City",2020,1,977,1187,1489,1914,2242,-.2,2.3
"Trenton, MI","City",2020,1,561,678,882,1172,1271,0,0
"Troy, MI","City",2020,1,834,1008,1311,1742,1889,.1,.6
"Troy, NY","City",2020,1,687,815,1003,1255,1382,0,1.7
"Troy, OH","City",2020,1,514,573,748,1006,1187,-.1,1.5
"Tucson, AZ","City",2020,1,604,716,951,1385,1638,.1,1.9
"Tulsa, OK","City",2020,1,547,648,837,1129,1242,.3,1.6
"Turtle Creek, PA","City",2020,1,435,504,630,789,868,.8,1.2
"Tuscaloosa, AL","City",2020,1,652,737,901,1162,1241,-.1,1
"Tustin, CA","City",2020,1,1646,1959,2517,3420,3771,.3,1.7
"Twentynine Palms, CA","City",2020,1,556,665,832,1170,1441,0,-.2
"Universal City, TX","City",2020,1,808,996,1251,1655,1988,-.4,2.7
"Urbana, IL","City",2020,1,584,717,890,1117,1489,.1,-.3
"Utica, MI","City",2020,1,649,785,1021,1357,1472,-.5,-.3
"Valdosta, GA","City",2020,1,550,554,709,970,1248,.1,-.5
"Vancouver, WA","City",2020,1,1275,1418,1673,2436,2948,-.1,1.5
"Vandalia, OH","City",2020,1,442,492,643,864,1020,0,1.5
"Victoria, TX","City",2020,1,762,770,953,1292,1360,-.1,2.6
"Victorville, CA","City",2020,1,945,1131,1415,1988,2448,.2,3.2
"Virginia Beach, VA","City",2020,1,1085,1091,1313,1832,2286,.1,1.9
"Visalia, CA","City",2020,1,801,807,1054,1528,1754,.1,2.7
"Vista, CA","City",2020,1,1305,1445,1874,2699,3303,.1,1.3
"Waco, TX","City",2020,1,537,633,833,1132,1380,0,1.6
"Walnut Creek, CA","City",2020,1,2000,2458,3089,4155,4941,-.2,1
"Warner Robins, GA","City",2020,1,712,765,918,1188,1410,.2,2.1
"Washington, DC","City",2020,1,1296,1361,1573,2074,2572,.1,1.8
"Waterbury, CT","City",2020,1,816,931,1137,1451,1694,-.1,1.6
"Waukegan, IL","City",2020,1,743,862,1014,1297,1543,0,2.7
"Wausau, WI","City",2020,1,465,571,733,919,1090,0,.5
"Wayne, MI","City",2020,1,512,619,806,1070,1161,.1,2.6
"Weatherford, TX","City",2020,1,759,905,1124,1524,1941,0,1.6
"Webster, TX","City",2020,1,887,1005,1230,1677,2132,.2,.9
"Wellington, FL","City",2020,1,1218,1506,1909,2628,3165,.3,-.2
"Weslaco, TX","City",2020,1,562,566,735,920,1094,0,.7
"West Chester, PA","City",2020,1,1112,1320,1594,1994,2219,0,.1
"West Covina, CA","City",2020,1,1526,1816,2334,3172,3498,.1,1.8
"West Lafayette, IN","City",2020,1,678,749,912,1250,1554,.1,-.3
"West Palm Beach, FL","City",2020,1,893,1105,1401,1929,2323,.2,1.7
"West Sacramento, CA","City",2020,1,665,749,950,1379,1673,.1,.4
"Westland, MI","City",2020,1,618,746,971,1290,1399,.1,.6
"Westminster, CO","City",2020,1,1063,1298,1643,2387,2765,0,2.3
"Wheat Ridge, CO","City",2020,1,826,1009,1278,1856,2150,0,2
"Wheeling, IL","City",2020,1,981,1138,1339,1713,2038,0,-.2
"Wichita, KS","City",2020,1,481,571,758,1029,1196,.1,1.6
"Wildomar, CA","City",2020,1,1205,1441,1803,2533,3121,-.8,2
"Williamsport, PA","City",2020,1,594,598,731,984,1008,-.2,1.9
"Willoughby, OH","City",2020,1,615,736,917,1205,1277,0,.1
"Winston-Salem, NC","City",2020,1,654,673,821,1140,1305,.1,2.3
"Winter Haven, FL","City",2020,1,678,684,895,1186,1502,-.2,1.9
"Winter Park, FL","City",2020,1,966,1056,1265,1683,2025,.2,.8
"Woodstock, IL","City",2020,1,845,980,1153,1475,1755,.2,1.3
"Worcester, MA","City",2020,1,881,995,1268,1605,1803,.1,1.7
"Wyandotte, MI","City",2020,1,515,623,810,1076,1168,0,-1.1
"Yakima, WA","City",2020,1,603,703,911,1258,1444,0,.5
"Youngstown, OH","City",2020,1,514,576,726,944,1050,.1,-.8
"Ypsilanti, MI","City",2020,1,815,868,1048,1438,1804,-.1,2.5
"Yucca Valley, CA","City",2020,1,580,693,867,1219,1501,0,2.9
"Zion, IL","City",2020,1,773,897,1056,1350,1607,0,1.2
